阿姨	阿姨	āyí	aunt, child's address to woman of similar age as parents, girl, babysitter, aunty, elderly unattached woman, cr#4 eche attendant, maiden aunt, family nurse, nursery/cr#4eche attendant, nurse, mother's sister, auntie, nursery eche attendant, child's address to woman of similar age, one's mother's sister	[sound:cmn-阿姨.mp3]
啊	啊	a	particle: used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation	[sound:cmn-啊.mp3]
愛國	爱国	àiguó	love one's country, patriotic	[sound:cmn-爱国.mp3]
矮	矮	ǎi	short (of stature), low	[sound:cmn-矮.mp3]
愛護	爱护	àihù	cherish, treasure, take good care of	[sound:cmn-爱护.mp3]
矮小	矮小	ǎixiǎo	short and small, low and small, undersized	[sound:cmn-矮小.mp3]
按時	按时	ànshí	on time, before deadline, on schedule	[sound:cmn-按时.mp3]
安置	安置	ānzhì	find place for, help settle down, arrange for	[sound:cmn-安置.mp3]
暗示	暗示	ànshì	(drop a) hint, suggest	[sound:cmn-暗示.mp3]
安	安	ān	surname An, content, calm, still, quiet, safe, secure, in good health, to find a place for, to install, to fix, to fit, to bring (a charge against sb), to pacify, to harbor (good intentions), security, safety, peace, ampere	[sound:cmn-安.mp3]
百貨	百货	bǎihuò	general merchandise	[sound:cmn-百货.mp3]
暗	暗	àn	unclear, dull, hidden, dim, dusk, secret, dark	[sound:cmn-暗.mp3]
擺	摆	bǎi	place, put, arrange	[sound:cmn-摆.mp3]
擺動	摆动	bǎidòng	to sway, to swing, to move back and forth, to oscillate	[sound:cmn-摆动.mp3]
巴士	巴士	bāshì	bus	[sound:cmn-巴士.mp3]
擺脫	摆脱	bǎi tuō	disembroil, free oneself, cast/shake off, fling_off, break away from, shake_off, disinvolve, disentangle, shake off, shift, wangle, cast off, extricate oneself from, shake, waste, free oneself from, disburden, ditch, manage, lose, cast, unload, extricate oneself, prescind, unship, slip, wriggle, shunt	[sound:cmn-摆脱.mp3]
辦事	办事	bàn shì	dispose, handle affairs, work	[sound:cmn-办事.mp3]
包裹	包裹	bāoguǒ	to wrap up, to bind up, bundle, parcel, package, CL:個|个[ge4]	[sound:cmn-包裹.mp3]
敗	败	bài	defeat, fail, lose, counteract, be defeated, beat, spoil, decay, wither	[sound:cmn-败.mp3]
包括	包括	bāokuò	consist_of, consist of, subtend, embrace, comprise, incorporate, embody, involve, count, subsume, take_in, comprehend, incorporation, include, comprize, run, cover, package, consist in	[sound:cmn-包括.mp3]
寶	宝	bǎo	treasure	[sound:cmn-宝.mp3]
包含	包含	bāohán	comprehend, consist of, subtend, imply, boast, go, colligate, include, hold, encompass, embrace, bear, carry, comprise, incorporate, cover, embody, connote, consist in, house, subsume, contain	[sound:cmn-包含.mp3]
寶寶	宝宝	bǎobao	pet, sonny, darling baby, precious baby, baby, precious, poppet, sweetie, precious/darling baby	[sound:cmn-宝宝.mp3]
寶貝	宝贝	bǎobèi	treasured object, treasure, darling, baby, cowry, good-for-nothing, odd character	[sound:cmn-宝贝.mp3]
寶貴	宝贵	bǎoguì	valuable, precious	[sound:cmn-宝贵.mp3]
寶石	宝石	bǎoshí	precious stone, gem	[sound:cmn-宝石.mp3]
保守	保守	bǎoshǒu	conservative	[sound:cmn-保守.mp3]
抱	抱	bào	hold/carry in arms, adopt, hatch, brood	[sound:cmn-抱.mp3]
背景	背景	bèijǐng	context, circumstance, locale, background, ground, stage setting, mise en scene, groundwork, background knowledge, frame, milieu, backcloth, scene, setting, backdrop	[sound:cmn-背景.mp3]
倍	倍	bèi	-fold, multiplication, diameter, double, times, twice as much	[sound:cmn-倍.mp3]
保密	保密	bǎo mì	maintain secrecy, hide, conceal, keep sth. secret, keep secret, hold_back	[sound:cmn-保密.mp3]
本科	本科	běnkē	undergraduate course, undergraduate (attributive)	[sound:cmn-本科.mp3]
薄	薄	báo	lacking in warmth, infertile, light, cold, weak, thin, despise, flimsy	[sound:cmn-薄.mp3]
比分	比分	bǐfēn	score	[sound:cmn-比分.mp3]
畢業	毕业	bì yè	graduate, finish school	[sound:cmn-毕业.mp3]
笨	笨	bèn	dull, cumbersome, wooden-headed, clumsy, stupid, awkward	[sound:cmn-笨.mp3]
畢業生	毕业生	bìyèshēng	alumnus, postgraduate, grad, alum, alumna, graduating class, graduate	[sound:cmn-毕业生.mp3]
避	避	bì	avoid, preclude, evade, repel, prevent, forbid, ward off, shun, keep away, forestall, foreclose, stay away from	[sound:cmn-避.mp3]
避免	避免	bìmiǎn	forbear, preclude, refrain_from, forebear, escape, help, elude, leapfrog, refrain from, stave_off, evite, shun, obviate, avoid, evade, waive, help oneself, ward_off, ward, miss, avert, ward off, balk, refrain	[sound:cmn-避免.mp3]
被迫	被迫	bèipò	forced, be forced, be compelled/forced, be compelled	[sound:cmn-被迫.mp3]
辯論	辩论	biànlùn	argue, debate	[sound:cmn-辩论.mp3]
標志	标志	biāozhì	earmark, banner, standing for, logo, symbol, marker, stamp, sign, symbolization, mark, emblem, seal, logotype, symbolizing, blip, marking, insignia	[sound:cmn-标志.mp3]
編	编	biān	group, arrangement, arrange, invent, entwine, weave, organize, edit, compilation, write, invention, pleach, cook up, plait, make up, braid, raddle, fabricate, compose, compile, fabrication	[sound:cmn-编.mp3]
表情	表情	biǎoqíng	brow, air, countenance, glow, look, cast, visage, expression, facial expression, gesture, business, dramatics, facial gesture	[sound:cmn-表情.mp3]
表揚	表扬	biǎoyáng	praise, commend	[sound:cmn-表扬.mp3]
別	别	bié	don't	[sound:cmn-别.mp3]
冰	冰	bīng	ice	[sound:cmn-冰.mp3]
